zip_code,latitude,longitude,city,state,county,community,estimated median income
90241.0,33.939164,-118.125851,Downey,CA,Los Angeles,Downey,"$69,308 "
90242.0,33.922714,-118.139969,Downey,CA,Los Angeles,Downey,"$66,019 "
90245.0,33.786594,-118.29866200000001,El Segundo,CA,Los Angeles,El Segundo,"$98,813 "
90247.0,33.888315000000006,-118.29525600000001,Gardena,CA,Los Angeles,Gardena,"$51,386 "
90248.0,33.877165000000005,-118.269605,Gardena,CA,Los Angeles,Gardena,"$62,179 "
90249.0,33.858866,-118.29910600000001,Gardena,CA,Los Angeles,Gardena,"$59,778 "
90250.0,33.786594,-118.29866200000001,Hawthorne,CA,Los Angeles,Hawthorne (Holly Park),"$53,303 "
90254.0,33.786594,-118.29866200000001,Hermosa Beach,CA,Los Angeles,Hermosa Beach,"$137,188 "
90255.0,33.977987,-118.21313700000002,Huntington Park,CA,Los Angeles,"Huntington Park, Walnut Park","$42,581 "
90260.0,33.786594,-118.29866200000001,Lawndale,CA,Los Angeles,Lawndale,"$62,047 "
90262.0,33.924538,-118.202954,Lynwood,CA,Los Angeles,Lynwood,"$49,801 "
90265.0,33.786594,-118.29866200000001,Malibu,CA,Los Angeles,Malibu,"$149,202 "
90266.0,33.786594,-118.29866200000001,Manhattan Beach,CA,Los Angeles,Manhattan Beach,"$150,083 "
90270.0,33.988463,-118.187376,Maywood,CA,Los Angeles,"Bell, Maywood","$39,760 "
90272.0,33.786594,-118.29866200000001,Pacific Palisades,CA,Los Angeles,"Los Angeles (Castellemare, Pacific Highlands, Pacific Palisades, Topanga State Park)","$194,151 "
90274.0,33.786594,-118.29866200000001,Palos Verdes Peninsula,CA,Los Angeles,"Palos Verdes Estates, Rolling Hills, Rolling Hills Estates","$162,163 "
90275.0,33.786594,-118.29866200000001,Rancho Palos Verdes,CA,Los Angeles,"Palos Verdes Estates, Rancho Palos Verdes, Rolling Hills Estates","$133,156 "
90277.0,33.786594,-118.29866200000001,Redondo Beach,CA,Los Angeles,"Redondo Beach, Torrance","$102,281 "
90278.0,33.987613,-118.179754,Redondo Beach,CA,Los Angeles,"Redondo Beach, Torrance","$118,000 "
90280.0,33.937714,-118.193403,South Gate,CA,Los Angeles,South Gate,"$50,246 "
90290.0,33.786594,-118.29866200000001,Topanga,CA,Los Angeles,Topanga,"$118,667 "
90291.0,33.786594,-118.29866200000001,Venice,CA,Los Angeles,Los Angeles (Venice),"$91,779 "
90292.0,33.786594,-118.29866200000001,Marina Del Rey,CA,Los Angeles,"Los Angeles (Marina Peninsula), Marina del Rey","$109,268 "
90293.0,33.786594,-118.29866200000001,Playa Del Rey,CA,Los Angeles,Los Angeles (Playa del Rey),"$103,874 "
90301.0,33.786594,-118.29866200000001,Inglewood,CA,Los Angeles,Inglewood,"$44,135 "
90302.0,33.786594,-118.29866200000001,Inglewood,CA,Los Angeles,Inglewood,"$47,863 "
90303.0,33.786594,-118.29866200000001,Inglewood,CA,Los Angeles,Inglewood,"$50,438 "
90304.0,33.786594,-118.29866200000001,Inglewood,CA,Los Angeles,"Inglewood, Lennox","$44,574 "
90305.0,33.786594,-118.29866200000001,Inglewood,CA,Los Angeles,Inglewood,"$74,009 "
90401.0,33.786594,-118.29866200000001,Santa Monica,CA,Los Angeles,Santa Monica (Downtown),"$72,872 "
90402.0,33.786594,-118.29866200000001,Santa Monica,CA,Los Angeles,Santa Monica,"$147,111 "
90403.0,33.786594,-118.29866200000001,Santa Monica,CA,Los Angeles,Santa Monica,"$107,335 "
90404.0,33.786594,-118.29866200000001,Santa Monica,CA,Los Angeles,Santa Monica,"$75,221 "
